node_id,element_type,guid,length,width,height,embedded_door_guid,info_string,label_type,bb_xmin,bb_ymin,bb_zmin,bb_xmax,bb_ymax,bb_zmax,zone_stamp_guid,pos_x,pos_y,room_name,room_number,room_height,embedded_in_wall_guid
1742,Door,2E52E846-500F-B24B-82FF-7CA1486014E4,,0.90 ,2.10 ,,DOO - 001,0,18.11,13.91,23.5,19.01,14.84,25.6,,,,,,,3664B8BF-5C51-0E48-B9C0-F91316AA0775
1743,Door,9545D57A-D086-2944-837F-A22AAB2C8029,,0.70 ,2.10 ,,DOO - 001,0,20.33,14.66,27.2,20.43,15.41,29.3,,,,,,,D2956D37-9662-0348-97CE-F1C78F781D63
1744,Door,D73552D4-E93C-4A40-BE91-CDA8D6100443,,0.70 ,2.10 ,,DOO - 001,0,20.33,12.23,27.2,20.43,12.98,29.3,,,,,,,D2956D37-9662-0348-97CE-F1C78F781D63
1745,Door,5070E1D7-7D33-EB40-AFE6-888E90B62CC3,,0.70 ,2.10 ,,DOO - 001,0,10.63,14.66,27.2,10.73,15.41,29.3,,,,,,,61D0C805-B453-0645-BAA6-18EC31E1B23C
1746,Door,3E35CDA6-912B-8A4C-924E-8FE9EA253CC4,,0.70 ,2.10 ,,DOO - 001,0,10.63,12.23,27.2,10.73,12.98,29.3,,,,,,,61D0C805-B453-0645-BAA6-18EC31E1B23C
1747,Door,1DFA2781-77F8-3648-A316-D0CB6098D79C,,0.90 ,2.40 ,,DOO - 001,0,11.1,11.15,27.2,12.03,12.12,29.6,,,,,,,FCD2B231-9AF2-114C-AAA7-770D318A9E96
1748,Door,4F37C6B3-4E66-A24F-BEBE-0061C8C795FF,,0.90 ,2.10 ,,DOO - 001,0,12.06,12.13,27.2,12.96,13.07,29.3,,,,,,,DE0FEB06-97A7-3E40-971A-D70DE4F99327
1749,Door,612709DE-4E2D-774D-850D-A4B2D2B85BBE,,0.90 ,2.10 ,,DOO - 001,0,18.11,12.13,27.2,19.01,13.07,29.3,,,,,,,E0ABB6A0-A867-8849-9A51-9E26DAC8ECFA
1750,Door,D9B7BCA0-791E-904F-8762-5BE18AF5F9A3,,0.90 ,2.40 ,,DOO - 001,0,19.03,11.15,27.2,20.05,12.12,29.6,,,,,,,122657ED-B577-DE4C-A311-B5CC1E077848
1751,Door,97E14544-67E4-6E42-8B8B-1BDE188355CB,,0.90 ,2.10 ,,DOO - 001,0,12.06,13.91,27.2,12.96,14.84,29.3,,,,,,,7AAD98A8-859E-2D40-B600-7605C883C661
1752,Door,1D3A8AA1-AD1E-5F4D-9563-5F46AA309C4C,,0.90 ,2.10 ,,DOO - 001,0,18.11,13.91,27.2,19.01,14.84,29.3,,,,,,,19FBD258-23F2-0A4F-9601-5B43111F1C10
1753,Door,E6F2298E-68FD-CE41-9207-A0F25C80D1C5,,0.70 ,2.10 ,,DOO - 001,0,20.33,14.66,30.9,20.43,15.41,33.0,,,,,,,22889F01-3E4C-3C4C-996D-F1969DB14D08
1754,Door,B8765284-72EA-1143-8368-AD5175B752FF,,0.70 ,2.10 ,,DOO - 001,0,20.33,12.23,30.9,20.43,12.98,33.0,,,,,,,22889F01-3E4C-3C4C-996D-F1969DB14D08
1755,Door,FD28D0BB-A5A8-E44F-A59E-7402DDD4605C,,0.70 ,2.10 ,,DOO - 001,0,10.63,14.66,30.9,10.73,15.41,33.0,,,,,,,D0FD712D-0F8A-6445-A8E6-9EECF0F4BAAC
1756,Door,9CB0F412-C140-2B44-9CAE-C0D0D4994174,,0.70 ,2.10 ,,DOO - 001,0,10.63,12.23,30.9,10.73,12.98,33.0,,,,,,,D0FD712D-0F8A-6445-A8E6-9EECF0F4BAAC
1757,Door,186B84EC-3719-1443-99DD-8A464FCA59E2,,0.90 ,2.40 ,,DOO - 001,0,11.1,11.15,30.9,12.03,12.12,33.3,,,,,,,083D6E3E-BCC9-1642-902D-FC71E4189EC3
1758,Door,C283E550-29E9-8A4A-8DAE-9CC768648F75,,0.90 ,2.10 ,,DOO - 001,0,12.06,12.13,30.9,12.96,13.07,33.0,,,,,,,ACAB7481-1A31-E34B-AF6A-BA58161CCBC0
1759,Door,7FF59A0D-7A06-394E-A97E-8166D76EF25C,,0.90 ,2.10 ,,DOO - 001,0,18.11,12.13,30.9,19.01,13.07,33.0,,,,,,,821C940E-FF69-124F-96AE-27395020CB87
1760,Door,FC86EB20-2E1B-104A-B3E3-84BB85C7BAFD,,0.90 ,2.40 ,,DOO - 001,0,19.03,11.15,30.9,20.05,12.12,33.3,,,,,,,0E9D1043-6B04-934C-8E38-C85A5B404D0B
1761,Door,D713DD42-85B1-4C40-AE87-232D53025E91,,0.90 ,2.10 ,,DOO - 001,0,12.06,13.91,30.9,12.96,14.84,33.0,,,,,,,BB7E3650-B6F7-9B47-915F-7F2290628288
1762,Door,1D276F7F-15F0-424A-BBC2-B602A07394CE,,0.90 ,2.10 ,,DOO - 001,0,18.11,13.91,30.9,19.01,14.84,33.0,,,,,,,EE5E2A03-16C1-674D-B431-AFC36FEA9C25
1763,Door,14F41255-2E2E-D84D-A4AF-15AE1556A3B9,,0.70 ,2.10 ,,DOO - 001,0,20.33,14.66,34.6,20.43,15.41,36.7,,,,,,,2BB293D9-C746-A04B-8602-E94D031E82DC
1764,Door,E54D984C-F0AF-5449-858D-F4A820A26959,,0.70 ,2.10 ,,DOO - 001,0,20.33,12.23,34.6,20.43,12.98,36.7,,,,,,,2BB293D9-C746-A04B-8602-E94D031E82DC
1765,Door,7A72FBDF-3B04-184C-9CE0-3B8CDACC21EC,,0.70 ,2.10 ,,DOO - 001,0,10.63,14.66,34.6,10.73,15.41,36.7,,,,,,,A33D01E4-8063-3F4D-A537-449A53D7EA5A
1766,Door,388AA3DF-B79F-9B4F-9EFF-89214EDFB2DB,,0.70 ,2.10 ,,DOO - 001,0,10.63,12.23,34.6,10.73,12.98,36.7,,,,,,,A33D01E4-8063-3F4D-A537-449A53D7EA5A
1767,Door,805CAA88-A830-3C40-B336-368BAD7D8333,,0.90 ,2.40 ,,DOO - 001,0,11.1,11.15,34.6,12.03,12.12,37.0,,,,,,,D4DC1212-AAF1-5D43-A5FC-7217BE384290
1768,Door,0FABF85D-2693-8849-8F35-2B97BBE3613F,,0.90 ,2.10 ,,DOO - 001,0,12.06,12.13,34.6,12.96,13.07,36.7,,,,,,,5F30AAA5-49A4-DD45-AE48-CF6803C005D9
1769,Door,54AC35EB-E4E8-0044-AD3B-D60C1851C9EF,,0.90 ,2.10 ,,DOO - 001,0,18.11,12.13,34.6,19.01,13.07,36.7,,,,,,,ACF18BF8-8612-B64B-ADBD-2FD0CC3700BF
1770,Door,643A5A71-2EBE-B64E-8B05-DC021B849A17,,0.90 ,2.40 ,,DOO - 001,0,19.03,11.15,34.6,20.05,12.12,37.0,,,,,,,2CD1542B-D427-624E-B05C-A278CEDB2D2F
1771,Door,E43B38B8-AE71-4A4C-9C8D-96306175233E,,0.90 ,2.10 ,,DOO - 001,0,12.06,13.91,34.6,12.96,14.84,36.7,,,,,,,63167F1A-0C51-BA45-81F1-97A03BD28155
1772,Door,D26DB29D-3D74-6E4D-9C76-59D894B4EDEB,,0.90 ,2.10 ,,DOO - 001,0,18.11,13.91,34.6,19.01,14.84,36.7,,,,,,,B7CB9F53-7961-A04A-ABDC-82791DE1F379
1773,Door,2A88701E-2F1D-D04E-989B-CD5FC9893EE2,,0.70 ,2.10 ,,DOO - 001,0,20.33,14.66,38.3,20.43,15.41,40.4,,,,,,,29A6E1CF-25A0-0942-B4D4-0CA113E5E2C1
1774,Door,BFB415CA-A891-6E4A-83B0-FE6B7F95ED0D,,0.70 ,2.10 ,,DOO - 001,0,20.33,12.23,38.3,20.43,12.98,40.4,,,,,,,29A6E1CF-25A0-0942-B4D4-0CA113E5E2C1
1775,Door,01132FF0-5828-E046-AE04-2E437D4D54D6,,0.70 ,2.10 ,,DOO - 001,0,10.63,14.66,38.3,10.73,15.41,40.4,,,,,,,6FFA6AC7-A1BB-6847-BF37-F88A90CA58FE
1776,Door,44F2EC0E-3EF6-0A4D-9197-CF2E09A5204D,,0.70 ,2.10 ,,DOO - 001,0,10.63,12.23,38.3,10.73,12.98,40.4,,,,,,,6FFA6AC7-A1BB-6847-BF37-F88A90CA58FE
1777,Door,EF00196E-D511-174A-ADFC-7CB477A3B2A0,,0.90 ,2.40 ,,DOO - 001,0,11.1,11.15,38.3,12.03,12.12,40.7,,,,,,,AA7B0BF6-2DF4-0943-BBC3-203E4179AF92
1778,Door,B22DA170-3167-024E-833D-5EA051AB36FC,,0.90 ,2.10 ,,DOO - 001,0,12.06,12.13,38.3,12.96,13.07,40.4,,,,,,,6CDC4A00-7D71-4449-AE16-BD635D20FA14
1779,Door,75099DB4-E29A-0B4E-882D-60B11CFBFC6E,,0.90 ,2.10 ,,DOO - 001,0,18.11,12.13,38.3,19.01,13.07,40.4,,,,,,,61128A83-2B67-7D4E-BAEC-9F129A45DC3A
1780,Door,19258729-439B-8841-B947-FE63181D3499,,0.90 ,2.40 ,,DOO - 001,0,19.03,11.15,38.3,20.05,12.12,40.7,,,,,,,4FC947C4-108E-2A41-BAC1-D695139EB86D
1781,Door,A31B8127-D6C8-194B-998B-83EA41BE39E6,,0.90 ,2.10 ,,DOO - 001,0,12.06,13.91,38.3,12.96,14.84,40.4,,,,,,,56187DAF-49CC-094C-8D80-387C96020117
