node_id,element_type,guid,length,width,height,info_string,label_type,bb_xmin,bb_ymin,bb_zmin,bb_xmax,bb_ymax,bb_zmax,embedded_door_guid,marker_guid,embedded_in_wall_guid
275,Wall,8AA6778F-71E1-4C2B-B67F-020867A9F47C,5.12,0.02,3.96,"6.0"" SIPS EXTERIOR WALL",0,5.44,-6.45,-1.22,7.13,-1.6,2.74,,,
276,Wall,10D6903D-DEC2-4D0A-94AC-7706225F04F9,5.11,0.02,3.96,"6.0"" SIPS EXTERIOR WALL",0,2.28,-8.12,-1.22,7.11,-6.43,2.74,,,
277,Wall,2BF960C7-4323-42D0-A028-F160EE8EB7A3,5.12,0.02,3.96,"6.0"" SIPS EXTERIOR WALL",0,0.59,-8.13,-1.22,2.29,-3.28,2.74,,,
278,Wall,252F52EF-F83F-4950-BCB4-E11A1C9D8EBF,5.13,0.02,1.22,"6.3"" SIPS EXTERIOR WALL",0,-1.43,-2.31,3.05,-0.98,2.81,4.27,,,
279,Wall,E3299FAA-440B-42B2-8F03-014477CD91FE,5.13,0.02,1.52,"6.3"" SIPS EXTERIOR WALL",0,0.62,-3.35,2.74,5.46,-1.6,4.27,,,
280,Wall,804DD1E2-7C21-4D69-984F-F63D9AF984CE,1.93,0.02,4.88,"6.3"" SIPS EXTERIOR WALL",0,-1.0,-3.35,-0.61,0.64,-2.29,4.27,,,
281,Wall,EEA5D508-7924-4AD0-9505-FA986A50AEE7,0.80,0.03,0.02,"6.1"" SIPS EXTERIOR WALL",0,-0.91,-1.22,4.53,-0.12,-1.03,4.55,,,
282,Wall,73B9F869-B307-4A71-B421-3C01527CE71B,0.93,0.03,0.02,"6.2"" SIPS EXTERIOR WALL",0,-0.83,-2.18,4.53,0.09,-1.96,4.55,,,
283,Wall,3FF6B2AD-B81C-4413-9246-5A3F00778014,0.68,0.03,0.02,"6.3"" SIPS EXTERIOR WALL",0,-0.99,-0.26,4.53,-0.32,-0.09,4.55,,,
284,Wall,A3CA41A5-255E-41F8-87C9-E39A6EA2820E,0.55,0.03,0.02,"6.4"" SIPS EXTERIOR WALL",0,-1.07,0.7,4.53,-0.52,0.84,4.55,,,
285,Wall,85468ECC-0D1A-4F9C-AA7E-A27581929646,0.42,0.03,0.02,"6.5"" SIPS EXTERIOR WALL",0,-1.15,1.66,4.53,-0.73,1.78,4.55,,,
286,Wall,90055713-BBA4-4F65-BC73-3416D243DAA8,0.39,0.03,0.02,"6.6"" SIPS EXTERIOR WALL",0,-0.1,-2.68,4.53,0.13,-2.34,4.55,,,
287,Wall,B5751B81-B053-4BAA-90C7-350AC743768E,0.93,0.03,0.02,"6.7"" SIPS EXTERIOR WALL",0,0.47,-3.14,4.53,0.69,-2.23,4.55,,,
288,Wall,EC042B56-1656-4A40-B5DD-9629ADC6409F,0.81,0.03,0.02,"6.8"" SIPS EXTERIOR WALL",0,1.4,-2.82,4.53,1.6,-2.02,4.55,,,
289,Wall,F38E3720-699C-4638-8240-E6A599CD8A39,0.68,0.03,0.02,"6.9"" SIPS EXTERIOR WALL",0,2.33,-2.49,4.53,2.5,-1.82,4.55,,,
290,Wall,6FEB2E19-3189-4C86-8731-38BB8D1D0145,0.55,0.03,0.02,"6.0"" SIPS EXTERIOR WALL",0,3.27,-2.16,4.53,3.41,-1.62,4.55,,,
291,Wall,E151D82E-5725-42AD-A5E9-91A16CA9BC7C,0.43,0.03,0.02,"6.1"" SIPS EXTERIOR WALL",0,4.2,-1.84,4.53,4.31,-1.41,4.55,,,
292,Wall,67B828FB-EEF4-43E4-9D3B-5595CC769C26,0.17,0.02,0.41,"6.0"" SIPS EXTERIOR WALL",0,5.38,-1.61,-1.22,5.45,-1.44,-0.81,,,
293,Wall,7458F599-3DD1-4130-BDC2-2A88825D362E,0.17,0.02,0.41,"6.0"" SIPS EXTERIOR WALL",0,-1.57,2.76,-0.61,-1.41,2.81,-0.2,,,
294,Wall,EE075725-52F5-49E1-94E9-9A8F69D30FE8,0.17,0.02,0.41,"6.0"" SIPS EXTERIOR WALL",0,0.54,-3.28,-1.22,0.61,-3.12,-0.81,,,
295,Wall,F19D5338-A844-4FAA-9A57-F8F07349071F,0.46,0.01,0.61,"6.2"" SIPS EXTERIOR WALL",0,0.76,-3.22,-1.22,1.2,-3.06,-0.61,,,
296,Wall,A8750399-D563-4C4B-ABDD-7A7C5C5EFE27,3.47,0.01,0.61,"6.5"" SIPS EXTERIOR WALL",0,2.15,-2.74,-1.22,5.43,-1.59,-0.61,,,
297,Wall,BC7003D9-ABBC-4261-B3CB-5FB1CB6E9E72,0.49,0.01,0.61,"6.6"" SIPS EXTERIOR WALL",0,-1.0,-2.17,-0.61,-0.94,-1.67,0.0,,,
298,Wall,44BF5A8B-EB70-4E21-861F-852A46DD17C7,3.42,0.01,0.61,"6.9"" SIPS EXTERIOR WALL",0,-1.42,-0.66,-0.61,-1.08,2.75,0.0,,,
299,Wall,14B1271A-6AEA-4DD3-92E4-EFBB56647C3B,0.28,0.01,0.20,"6.0"" SIPS EXTERIOR WALL",0,2.05,-2.74,-0.81,2.16,-2.48,-0.61,,,
300,Wall,81F7E93E-A7B0-4C84-8698-A7082FA1A210,0.28,0.01,0.20,"6.0"" SIPS EXTERIOR WALL",0,1.11,-3.07,-0.81,1.21,-2.81,-0.61,,,
301,Wall,1EA9F727-CF30-46DE-8211-7A85B4F43994,0.28,0.01,0.20,"6.0"" SIPS EXTERIOR WALL",0,-1.26,-1.7,-0.2,-0.98,-1.66,-0.0,,,
302,Wall,45EB6C25-591A-4658-8CC9-3143767232F2,0.28,0.01,0.20,"6.0"" SIPS EXTERIOR WALL",0,-1.36,-0.7,-0.2,-1.08,-0.66,-0.0,,,
303,Wall,49834FF5-83EB-4F1E-B095-6221CBCDEFB3,6.49,0.08,0.59,"6.1"" SIPS EXTERIOR WALL",0,-5.44,-5.81,-1.51,0.71,-3.61,-0.92,,,
304,Slab,99AC84D4-4DE8-4342-B652-89CF5884847D,,,,MORTAR THIN-SET,2,-23.21,2.39,-0.0,-22.14,3.98,0.01,,,
305,Slab,B59CD0B3-62FA-5D45-AEC0-2CE4D3E89F83,,,,"8"" SIPS FLOOR",2,-23.21,2.08,-0.22,-22.14,3.98,0.0,,,
306,Slab,86E06309-63D4-284F-BEFB-1FFAA7500EF7,,,,5/4 PT DECK,0,-21.57,0.68,-0.22,-20.15,0.82,-0.19,,,
307,Slab,B1A2A66C-AB4C-C740-A004-8221051A6C14,,,,5/4 PT DECK,0,-21.57,0.53,-0.22,-20.15,0.67,-0.19,,,
308,Slab,C124C983-1CB1-0248-BC2C-1BB884326FFD,,,,5/4 PT DECK,0,-21.57,0.39,-0.22,-20.15,0.53,-0.19,,,
309,Slab,2C28950C-1F41-2148-BC5C-6306AC88201A,,,,5/4 PT DECK,0,-21.57,0.25,-0.22,-20.15,0.38,-0.19,,,
310,Slab,A1E2726C-4D70-D348-9408-F711481D8D64,,,,5/4 PT DECK,2,-21.57,0.1,-0.22,-20.15,0.24,-0.19,,,
311,Slab,A9B61098-161F-E44D-8F99-571FD6C0F3CB,,,,Slab-053,0,-27.82,2.5,2.15,-24.92,3.19,2.22,,,
312,Slab,E2ED2D98-9698-454E-9F35-927F638CC091,,,,Slab-051,0,-27.82,2.58,0.06,-27.77,3.19,0.98,,,
313,Slab,C9D284CC-EC1F-8647-A882-4E12FAE951A2,,,,Slab-027,0,-27.33,5.04,0.0,-25.78,6.57,0.02,,,
314,Slab,BA87C3B6-CBF6-AD44-8FC8-810851B99640,,,,Slab-027,0,-27.44,5.77,0.0,-27.33,6.48,0.02,,,
315,Slab,49B01D31-77C7-A444-88B7-EE7FFA04B48F,,,,"4"" STAMPED CONCRETE SLAB OVER COMPACTED GRAVEL FILL",2,-8.79,8.01,-1.14,2.32,20.93,-0.93,,,
316,Slab,026E18EC-1B12-8A45-B064-A3ACE2ADD92C,,,,TILE FINISH,2,-23.21,2.76,0.01,-22.14,3.98,0.03,,,
317,Slab,89CB235E-8245-2340-A386-97163375BFD1,,,,Slab-052,0,-27.79,3.17,0.93,-25.53,3.19,0.98,,,
318,Slab,56B58CE5-91A5-5D49-81EC-E56218EEE8E3,,,,FELT/ PAPER UNDERLAYMENT,2,-21.78,2.39,-0.0,-20.71,3.98,0.01,,,
319,Slab,5932B627-7310-D74D-B02B-D6F03433BBE1,,,,"8"" SIPS FLOOR",2,-21.78,2.08,-0.22,-20.71,3.98,0.0,,,
320,Slab,87D40EBB-A424-6E4B-A523-777C2EA4D3C0,,,,HARDWOOD PLANK FINISH,2,-21.78,2.76,0.01,-20.71,3.98,0.03,,,
321,Slab,647DD1A7-AD8F-0B4F-94BF-EDBF01354F8D,,,,Slab-027,0,-27.33,5.04,0.0,-25.78,6.57,0.02,,,
322,Slab,70599D3F-A636-1A4F-B390-DCDC8AB133CF,,,,Slab-027,0,-27.44,5.77,0.0,-27.33,6.48,0.02,,,
323,Slab,989A48F0-4BB9-4AE8-88D6-ABB838974B27,,,,Slab-054,0,33.42,50.78,-4.88,39.32,56.67,1.22,,,
324,Slab,F5C31E04-FF6F-48CE-BD45-C2AE82DE557A,,,,Slab-055,0,28.35,51.61,-4.88,34.03,57.28,0.0,,,
325,Slab,F78E478D-A667-4A7D-ABE2-800A83B045F6,,,,Slab-056,0,28.35,51.61,-4.88,34.03,57.28,0.0,,,
326,Slab,AA773E6D-D79A-4280-B128-30A9D020BCED,,,,Slab-057,0,28.35,51.61,-4.88,34.03,57.28,0.0,,,
327,Slab,6D6AFB8C-5999-488F-B939-1D55C98FA465,,,,Slab-057,0,34.25,45.71,-4.88,39.92,51.38,0.0,,,
328,Slab,88A876BD-A089-42AE-AC92-295C979CC60F,,,,Slab-058,0,34.2,51.56,-4.88,39.31,56.67,0.0,,,
329,Slab,51C1957C-C14D-47C8-89DD-A249FC1204B1,,,,Slab-059,0,34.2,51.56,-4.88,39.31,56.67,0.0,,,
