node_id,element_type,guid,associated_element_guid,text,length,pos_x,pos_y,info_string,bb_xmin,bb_ymin,bb_zmin,bb_xmax,bb_ymax,bb_zmax,width,height,label_type,embedded_door_guid,zone_stamp_guid,room_name,room_number,room_height,embedded_in_wall_guid,marker_guid
89,DimNode 70,6327708B-49F8-4509-AC98-585A08889C84,00000000-0000-0000-0000-000000000000,0.00,0.00,409.73,-336.71,Dim Node 70,409.73,-336.72,0.0,409.74,-336.71,0.0,,,,,,,,,,
90,DimNode 71,6327708B-49F8-4509-AC98-585A08889C84,00000000-0000-0000-0000-000000000000,6.37,6.37,412.52,-342.44,Dim Node 71,412.52,-342.45,0.0,412.53,-342.44,0.0,,,,,,,,,,
91,DimNode 72,6327708B-49F8-4509-AC98-585A08889C84,00000000-0000-0000-0000-000000000000,6.13,6.13,415.2,-347.95,Dim Node 72,415.2,-347.96,0.0,415.21,-347.95,0.0,,,,,,,,,,
92,DimNode 73,6327708B-49F8-4509-AC98-585A08889C84,00000000-0000-0000-0000-000000000000,6.14,6.14,417.89,-353.47,Dim Node 73,417.88,-353.48,0.0,417.89,-353.47,0.0,,,,,,,,,,
93,DimNode 74,6327708B-49F8-4509-AC98-585A08889C84,00000000-0000-0000-0000-000000000000,6.15,6.15,420.58,-359.01,Dim Node 74,420.57,-359.01,0.0,420.58,-359.0,0.0,,,,,,,,,,
94,DimNode 75,6327708B-49F8-4509-AC98-585A08889C84,00000000-0000-0000-0000-000000000000,6.13,6.13,423.26,-364.52,Dim Node 75,423.25,-364.52,0.0,423.26,-364.51,0.0,,,,,,,,,,
95,DimNode 76,6327708B-49F8-4509-AC98-585A08889C84,00000000-0000-0000-0000-000000000000,6.14,6.14,425.94,-370.04,Dim Node 76,425.94,-370.04,0.0,425.95,-370.03,0.0,,,,,,,,,,
96,DimNode 77,6327708B-49F8-4509-AC98-585A08889C84,00000000-0000-0000-0000-000000000000,5.58,5.58,428.38,-375.05,Dim Node 77,428.38,-375.06,0.0,428.39,-375.05,0.0,,,,,,,,,,
97,Dimension,6327708B-49F8-4509-AC98-585A08889C84,,,42.63,,,Dim 20,409.58,-375.13,15.0,428.53,-336.63,15.0,,,,,,,,,,
98,DimNode 78,1F455243-1F13-4555-93D0-A363B667C5A5,00000000-0000-0000-0000-000000000000,0.00,0.00,409.57,-336.75,Dim Node 78,409.57,-336.76,0.0,409.58,-336.75,0.0,,,,,,,,,,
99,DimNode 79,1F455243-1F13-4555-93D0-A363B667C5A5,00000000-0000-0000-0000-000000000000,7.50,7.50,407.95,-329.43,Dim Node 79,407.94,-329.44,0.0,407.95,-329.43,0.0,,,,,,,,,,
100,Dimension,1F455243-1F13-4555-93D0-A363B667C5A5,,,7.50,,,Dim 21,407.8,-336.83,15.0,409.72,-329.35,15.0,,,,,,,,,,
101,DimNode 80,456B916E-28E0-45DD-8B77-A2D463D9FEBC,BDD21AB9-460F-46AC-8467-01C3523207A7,0.00,0.00,426.36,-329.4,Dim Node 80,426.35,-329.41,0.0,426.36,-329.4,0.0,,,,,,,,,,
102,DimNode 81,456B916E-28E0-45DD-8B77-A2D463D9FEBC,00000000-0000-0000-0000-000000000000,38.47,38.47,426.36,-290.93,Dim Node 81,426.35,-290.93,0.0,426.36,-290.92,0.0,,,,,,,,,,
103,Dimension,456B916E-28E0-45DD-8B77-A2D463D9FEBC,,,38.47,,,Dim 22,426.21,-329.48,12.5,426.51,-290.85,12.5,,,,,,,,,,
104,DimNode 82,B224A394-6E07-4E7C-88A3-CC7370D687C6,00000000-0000-0000-0000-000000000000,0.00,0.00,444.69,-367.13,Dim Node 82,444.69,-367.13,0.0,444.7,-367.12,0.0,,,,,,,,,,
105,DimNode 83,B224A394-6E07-4E7C-88A3-CC7370D687C6,BDD21AB9-460F-46AC-8467-01C3523207A7,42.66,42.66,426.04,-328.76,Dim Node 83,426.03,-328.77,0.0,426.04,-328.76,0.0,,,,,,,,,,
106,Dimension,B224A394-6E07-4E7C-88A3-CC7370D687C6,,,42.66,,,Dim 23,425.89,-367.21,12.5,444.84,-328.68,12.5,,,,,,,,,,
107,DimNode 84,CBA90F26-6966-4A14-B30B-202B9A082F8B,00000000-0000-0000-0000-000000000000,0.00,0.00,430.91,-376.44,Dim Node 84,430.9,-376.44,0.0,430.91,-376.43,0.0,,,,,,,,,,
108,DimNode 85,CBA90F26-6966-4A14-B30B-202B9A082F8B,00000000-0000-0000-0000-000000000000,"15,00",15.01,444.4,-369.87,Dim Node 85,444.4,-369.88,0.0,444.41,-369.87,0.0,,,,,,,,,,
109,Dimension,CBA90F26-6966-4A14-B30B-202B9A082F8B,,,15.01,,,Dim 24,430.76,-376.52,12.5,444.55,-369.79,12.5,,,,,,,,,,
110,DimNode 86,9822B148-F2E7-4D4B-873C-E7FB7F9C56F4,00000000-0000-0000-0000-000000000000,0.00,0.00,430.91,-376.44,Dim Node 86,430.9,-376.44,0.0,430.91,-376.43,0.0,,,,,,,,,,
111,DimNode 87,9822B148-F2E7-4D4B-873C-E7FB7F9C56F4,00000000-0000-0000-0000-000000000000,15.01,15.01,444.4,-369.87,Dim Node 87,444.4,-369.88,0.0,444.41,-369.87,0.0,,,,,,,,,,
112,Dimension,9822B148-F2E7-4D4B-873C-E7FB7F9C56F4,,,15.01,,,Dim 25,430.76,-376.52,15.0,444.55,-369.79,15.0,,,,,,,,,,
113,Wall,A7BB6B7A-54D0-4A4C-A351-F7F9943149B6,,,36.99,,,Parede-003,423.33,-327.85,10.0,423.43,-290.86,19.03,0.10,9.03,0.0,,,,,,,
114,Wall,86124E26-AB7A-492F-9BA5-170DCC1110F3,,,41.07,,,Parede-002,423.97,-367.54,10.0,442.02,-330.56,18.5,0.10,8.50,0.0,,,,,,,
115,Wall,FF957713-4C01-4D0E-BE7E-1D44BD7FE1C0,,,40.44,,,Parede-004,409.87,-331.3,10.0,409.97,-290.86,18.86,0.10,8.86,0.0,,,,,,,
116,Wall,7D2C960C-C21E-4292-963F-89D0286709EA,,,44.43,,,Parede-005,410.47,-373.88,10.0,430.0,-333.88,18.5,0.10,8.50,0.0,,,,,,,
117,Wall,543CDB9F-FEF3-4AD0-AE95-930CAB151E35,,,2.78,,,Parede-002,423.33,-330.61,10.0,424.06,-327.85,18.5,0.10,8.50,0.0,,,,,,,
118,Wall,2E357CD3-4E50-4438-ABEA-C657CFC7261F,,,2.69,,,Parede-004,409.87,-333.92,10.0,410.56,-331.3,18.5,0.10,8.50,0.0,,,,,,,
119,Wall,70007FF9-7EFA-4C10-8145-422B3CCCA4A1,,,15.79,,,Parede-005,429.54,-374.41,10.0,443.91,-367.15,14.96,0.40,4.96,0.0,,,,,,,
120,Wall,B9C8A71A-DA15-41F2-B77F-4B4FC318A137,,,2.00,,,Parede-007,436.86,-365.51,10.0,438.7,-364.54,15.0,0.10,5.00,0.0,,,,,,,
121,Wall,EEDA78D5-18BA-4679-A112-6A428D01F236,,,4.56,,,Parede-006,436.72,-369.59,10.0,438.85,-365.42,15.0,0.15,5.00,0.0,,,,,,,
122,Wall,B42BC5D0-7B35-40F6-8888-90BEC388D723,,,2.78,,,Parede-006,433.3,-371.63,10.0,434.61,-369.09,14.98,0.10,4.98,0.0,,,,,,,
123,Wall,A2C34AE3-A4D9-4FEA-8BF3-4324861E9BB3,,,2.00,,,Parede-006,437.83,-367.52,10.0,439.68,-366.55,15.0,0.10,5.00,0.0,,,,,,,
124,Wall,0289D9C4-E84F-41EB-BDA1-8AF44B8885B7,,,4.56,,,Parede-006,438.66,-368.65,10.0,440.74,-364.5,15.0,0.10,5.00,0.0,24D42A10-EDC0-4C25-8209-BFA7E631950B,,,,,,
125,Wall,88FBE59F-5D43-4E73-B12C-401D43CF8291,,,8.30,,,Parede-007,429.3,-369.18,10.0,436.81,-365.46,15.0,0.10,5.00,0.0,,,,,,,
126,Wall,FB6D2A9C-1E21-4464-B0C3-3A5439A9D89B,,,4.56,,,Parede-006,440.86,-367.58,10.0,442.95,-363.43,12.5,0.10,2.50,0.0,,,,,,,
127,Wall,13CE0EAE-981D-4EE1-945F-CAD3210570E5,,,7.10,,,Parede-007,430.16,-370.75,10.0,436.59,-367.55,15.0,0.10,5.00,0.0,,,,,,,
128,Wall,E40341DC-F924-48CB-A8BD-8709FE6CA286,,,1.24,,,Parede-006,440.13,-367.67,10.0,441.29,-367.04,15.0,0.10,5.00,0.0,,,,,,,
129,Wall,BE54501B-9124-43EF-A5AB-2F8C37C95D76,,,3.38,,,Parede-006,439.77,-367.04,10.0,441.34,-363.96,12.5,0.10,2.50,0.0,4778A7A1-077B-456F-A7AD-020EC7AE6DDB,,,,,,
130,Wall,C2901FF6-6B52-4AD9-85CB-4DC2D9898AFF,,,1.31,,,Parede-006,439.77,-364.09,10.0,440.99,-363.43,12.66,0.10,2.66,0.0,,,,,,,
131,Wall,97D24643-11DE-48DB-BC62-9538DDD6589B,,,4.56,,,Parede-006,428.22,-373.72,10.0,430.31,-369.57,15.0,0.10,5.00,0.0,,,,,,,
132,Wall,A15B1D10-3ED7-42D9-8F3C-C356713B8E68,,,6.94,,,Parede-158,411.04,-305.34,12.5,417.98,-305.24,17.5,0.10,5.00,0.0,63F8FA33-4EC9-483A-9F13-0BAE8A0E8E20,,,,,,
133,Wall,FD3933B7-9FF9-497C-ACD7-3D4205343D5B,,,6.92,,,Parede-161,411.09,-294.84,12.7,418.0,-292.96,18.13,0.10,5.43,0.0,,,,,,,
134,Wall,C44009AE-803B-E523-28C9-EABF667ADCD8,,,11.26,,,Parede-007,392.15,-268.37,4.93,403.4,-266.93,15.93,0.40,11.00,0.0,,,,,,,
135,Wall,F94862AD-C889-03CE-D34C-830A2D447058,,,60.25,,,Parede-007,388.18,-325.73,12.93,403.4,-267.23,15.93,0.40,3.00,0.0,,,,,,,
136,Wall,377A7DD1-829A-3549-0FB7-01624AC40232,,,65.68,,,Parede-007,375.63,-332.03,12.93,392.18,-268.27,14.08,0.40,1.15,0.0,,,,,,,
137,Wall,FC52CA94-C120-CF07-23EF-777995AF7735,,,14.04,,,Parede-007,375.84,-332.03,4.93,388.57,-325.37,15.93,0.40,11.00,0.0,,,,,,,
138,Wall,C617187A-8755-5E78-BA8C-BB6C8DE1E42A,,,12.33,,,Parede-007,366.69,-371.73,-0.07,379.38,-365.48,15.93,3.00,16.00,0.0,,,,,,,
