node_id,element_type,guid,associated_element_guid,text,length,pos_x,pos_y,info_string,bb_xmin,bb_ymin,bb_zmin,bb_xmax,bb_ymax,bb_zmax,width,height,label_type,embedded_door_guid,zone_stamp_guid,room_name,room_number,room_height,marker_guid,embedded_in_wall_guid
4163,DimText 1406,6107648D-7871-464C-AE95-DF8011D2241B,,90,,7.39,15.16,Dim Text 1406,7.39,15.16,0.0,7.89,15.66,0.0,,,,,,,,,,
4164,DimText 1407,6107648D-7871-464C-AE95-DF8011D2241B,,5,,7.39,15.63,Dim Text 1407,7.39,15.63,0.0,7.89,16.13,0.0,,,,,,,,,,
4165,DimText 1408,F35EE799-4345-A840-8C91-87935B3655DA,,0,,7.06,15.93,Dim Text 1408,7.06,15.93,0.0,7.56,16.43,0.0,,,,,,,,,,
4166,DimText 1409,F35EE799-4345-A840-8C91-87935B3655DA,,20,,7.12,15.93,Dim Text 1409,7.12,15.93,0.0,7.62,16.43,0.0,,,,,,,,,,
4167,DimText 1410,DE811AA4-48AB-794C-83F9-A20892A69ADF,,0,,7.08,14.75,Dim Text 1410,7.08,14.75,0.0,7.58,15.25,0.0,,,,,,,,,,
4168,DimText 1411,DE811AA4-48AB-794C-83F9-A20892A69ADF,,13,,6.97,14.75,Dim Text 1411,6.97,14.75,0.0,7.47,15.25,0.0,,,,,,,,,,
4169,DimText 1412,DE811AA4-48AB-794C-83F9-A20892A69ADF,,5,,7.32,14.75,Dim Text 1412,7.32,14.75,0.0,7.82,15.25,0.0,,,,,,,,,,
4170,DimText 1413,53A12D23-705F-4548-9324-72594757F76F,,0,,12.43,9.85,Dim Text 1413,12.43,9.85,0.0,12.93,10.35,0.0,,,,,,,,,,
4171,DimText 1414,53A12D23-705F-4548-9324-72594757F76F,,10,,12.43,9.74,Dim Text 1414,12.43,9.74,0.0,12.93,10.24,0.0,,,,,,,,,,
4172,DimText 1415,53A12D23-705F-4548-9324-72594757F76F,,95,,12.43,10.39,Dim Text 1415,12.43,10.39,0.0,12.93,10.89,0.0,,,,,,,,,,
4173,DimText 1416,53A12D23-705F-4548-9324-72594757F76F,,84,,12.43,11.28,Dim Text 1416,12.43,11.28,0.0,12.93,11.78,0.0,,,,,,,,,,
4174,DimText 1417,53A12D23-705F-4548-9324-72594757F76F,,30,,12.43,11.85,Dim Text 1417,12.43,11.85,0.0,12.93,12.35,0.0,,,,,,,,,,
4175,DimText 1418,53A12D23-705F-4548-9324-72594757F76F,,5,,12.31,12.06,Dim Text 1418,12.31,12.06,0.0,12.81,12.56,0.0,,,,,,,,,,
4176,DimText 1419,53A12D23-705F-4548-9324-72594757F76F,,2,,12.43,12.16,Dim Text 1419,12.43,12.16,0.0,12.93,12.66,0.0,,,,,,,,,,
4177,DimText 1420,90F49906-A4FA-0144-84C3-0912C0E2ACCB,,0,,6.14,10.8,Dim Text 1420,6.14,10.8,0.0,6.64,11.3,0.0,,,,,,,,,,
4178,DimText 1421,90F49906-A4FA-0144-84C3-0912C0E2ACCB,,70,,6.45,10.8,Dim Text 1421,6.45,10.8,0.0,6.95,11.3,0.0,,,,,,,,,,
4179,DimText 1422,90F49906-A4FA-0144-84C3-0912C0E2ACCB,,141,,7.49,10.8,Dim Text 1422,7.49,10.8,0.0,7.99,11.3,0.0,,,,,,,,,,
4180,DimText 1423,90F49906-A4FA-0144-84C3-0912C0E2ACCB,,390,,10.12,10.8,Dim Text 1423,10.12,10.8,0.0,10.62,11.3,0.0,,,,,,,,,,
4181,DimText 1424,0B2B9A88-EC8C-3742-9397-FCF6DFD9C54D,,0,,7.26,15.66,Dim Text 1424,7.26,15.66,0.0,7.76,16.16,0.0,,,,,,,,,,
4182,DimText 1425,0B2B9A88-EC8C-3742-9397-FCF6DFD9C54D,,20,,7.32,15.66,Dim Text 1425,7.32,15.66,0.0,7.82,16.16,0.0,,,,,,,,,,
4183,DimText 1426,0B2B9A88-EC8C-3742-9397-FCF6DFD9C54D,,60,,7.72,15.66,Dim Text 1426,7.72,15.66,0.0,8.22,16.16,0.0,,,,,,,,,,
4184,DimText 1427,0B2B9A88-EC8C-3742-9397-FCF6DFD9C54D,,59,,8.31,15.66,Dim Text 1427,8.31,15.66,0.0,8.81,16.16,0.0,,,,,,,,,,
4185,DimText 1428,0B2B9A88-EC8C-3742-9397-FCF6DFD9C54D,,60,,8.91,15.66,Dim Text 1428,8.91,15.66,0.0,9.41,16.16,0.0,,,,,,,,,,
4186,DimText 1429,0B2B9A88-EC8C-3742-9397-FCF6DFD9C54D,,59,,9.5,15.66,Dim Text 1429,9.5,15.66,0.0,10.0,16.16,0.0,,,,,,,,,,
4187,DimText 1430,0B2B9A88-EC8C-3742-9397-FCF6DFD9C54D,,58,,10.05,15.66,Dim Text 1430,10.05,15.66,0.0,10.55,16.16,0.0,,,,,,,,,,
