node_id,element_type,guid,associated_element_guid,text,length,pos_x,pos_y,info_string,bb_xmin,bb_ymin,bb_zmin,bb_xmax,bb_ymax,bb_zmax
105,DimNode 84,8769BA9C-016D-BF4A-887C-056AB45CEBFD,49CE2419-FF4A-9147-AAB4-A71BEA4F62B0,"7,200",7.20,19.13,18.25,Dim Node 84,19.13,18.24,0.0,19.14,18.25,0.0
106,DimNode 85,8769BA9C-016D-BF4A-887C-056AB45CEBFD,E0135B71-870D-CB4F-B07D-B4D6291B6F68,"8,125",8.13,27.26,18.25,Dim Node 85,27.25,18.24,0.0,27.26,18.25,0.0
107,DimNode 86,8769BA9C-016D-BF4A-887C-056AB45CEBFD,66E94027-BF8C-7D42-8F0D-795A6A6410B0,"6,000",6.00,33.26,18.25,Dim Node 86,33.25,18.24,0.0,33.26,18.25,0.0
108,DimNode 87,8769BA9C-016D-BF4A-887C-056AB45CEBFD,C7BEA488-82BF-4A4E-AA1B-40AB94B91957,"4,175",4.18,37.43,18.25,Dim Node 87,37.43,18.24,0.0,37.44,18.25,0.0
109,Dimension,8769BA9C-016D-BF4A-887C-056AB45CEBFD,,,30.12,,,Dim 22,7.25,18.15,34.6,37.5,18.34,34.6
110,DimNode 88,BA79E248-6931-8C40-BB40-EA17F59C59FC,5573CB58-4F27-3544-AEAB-341B7082BBF9,"0,000",0.00,7.31,19.01,Dim Node 88,7.3,19.01,0.0,7.31,19.02,0.0
111,DimNode 89,BA79E248-6931-8C40-BB40-EA17F59C59FC,C7BEA488-82BF-4A4E-AA1B-40AB94B91957,"30,125",30.12,37.43,19.01,Dim Node 89,37.43,19.01,0.0,37.44,19.02,0.0
112,Dimension,BA79E248-6931-8C40-BB40-EA17F59C59FC,,,30.12,,,Dim 23,7.25,18.92,38.3,37.5,19.1,38.3
113,DimNode 90,2BD8E44D-6FBE-AC4A-AE4C-3EA5D509EB3B,5573CB58-4F27-3544-AEAB-341B7082BBF9,"0,000",0.00,7.31,18.25,Dim Node 90,7.3,18.24,0.0,7.31,18.25,0.0
114,DimNode 91,2BD8E44D-6FBE-AC4A-AE4C-3EA5D509EB3B,7068DC9B-2AF6-DE44-873E-4577F2DB20D4,"4,625",4.63,11.93,18.25,Dim Node 91,11.93,18.24,0.0,11.94,18.25,0.0
