node_id,element_type,guid,length,width,height,info_string,label_type,bb_xmin,bb_ymin,bb_zmin,bb_xmax,bb_ymax,bb_zmax,embedded_door_guid,zone_stamp_guid,pos_x,pos_y,room_name,room_number,room_height,marker_guid,embedded_in_wall_guid
13463,Slab,F14EA9A9-6A57-4E3A-9718-22B9584EA0C6,,,,SLA - 014,2,-6.58,-36.93,-10.15,-0.26,-31.52,-10.1,,,,,,,,,
13464,Slab,51FA63ED-ABEF-4DDE-B0E2-17720143F647,,,,SLA - 019,2,-25.45,-16.9,-0.15,-19.5,-7.32,0.35,,,,,,,,,
13465,Slab,98846BBA-B8E8-42AE-93BF-92FDCA86DB9C,,,,SLA - 014,2,-0.18,-31.28,-10.15,7.74,-25.32,-10.1,,,,,,,,,
13466,Slab,0AAAEFBA-03BA-4A81-9FB3-840948833DB4,,,,SLA - 005,0,-19.2,-18.8,-11.45,-8.75,-7.1,-10.25,,,,,,,,,
13467,Slab,ED0D81B9-467D-405B-9DE5-EA62F43525AC,,,,SLA - 005,0,-82.0,-18.9,-8.25,-71.55,-6.9,-7.25,,,,,,,,,
13468,Slab,F9AAEC3D-DC71-47ED-91CD-9EC9C1C54BBB,,,,SLA - 005,0,-19.2,-18.9,-7.4,-7.35,-6.9,-7.25,,,,,,,,,
13469,Slab,A93C9C2A-F310-4511-BAB9-C3ED07BFBE3B,,,,SLA - 020,0,-156.42,-131.66,0.15,-156.37,-131.61,0.2,,,,,,,,,
13470,Slab,06E8658A-3165-4796-AD51-59E1B30B23E1,,,,SLA - 001,0,-69.28,-7.08,0.2,-63.22,6.5,0.3,,,,,,,,,
13471,Slab,E90D271A-21B5-4A5B-9CA6-B4023B8E2885,,,,SLA - 001,2,-75.68,-7.08,0.2,-69.52,6.5,0.3,,,,,,,,,
13472,Slab,46150DD7-D6BD-4FEC-BD92-26F08C1A11ED,,,,SLA - 002,0,-82.08,-7.08,0.2,-75.92,6.5,0.3,,,,,,,,,
13473,Slab,773A900D-51D8-4FF7-9F03-DF0E2909CFF5,,,,SLA - 003,0,-88.38,-7.08,0.2,-82.32,6.5,0.3,,,,,,,,,
13474,Slab,362DF5C6-E150-41BD-BEBB-13CC9A45125D,,,,SLA - 001,0,-62.68,-7.08,0.2,-56.82,6.5,0.3,,,,,,,,,
13475,Slab,0CAA4A90-FED0-4984-8295-2842AE87CCC2,,,,SLA - 006,0,-31.98,-7.08,0.2,-26.12,6.5,0.3,,,,,,,,,
13476,Slab,C246154A-9B79-4B9A-AD6A-493264D3F34A,,,,SLA - 017,2,-73.73,-13.98,-7.15,-66.62,-7.02,-7.1,,,,,,,,,
13477,Slab,0B2CAFB6-79E0-4AFD-809E-F01289E102C3,,,,SLA - 005,0,-21.75,-27.8,-11.45,1.8,2.0,-10.15,,,,,,,,,
13478,Slab,5F83CC63-99A9-43F5-B503-EB9D20A5A56A,,,,SLA - 005,0,-90.1,-27.3,-8.25,-63.0,1.5,-7.15,,,,,,,,,
13479,Slab,2FA28863-AE57-4A85-B9B1-8B41FAC0135D,,,,SLA - 001,2,-8.13,-16.98,0.2,-0.42,-0.22,0.3,,,,,,,,,
