node_id,element_type,guid,length,width,height,info_string,label_type,bb_xmin,bb_ymin,bb_zmin,bb_xmax,bb_ymax,bb_zmax,embedded_door_guid,zone_stamp_guid,pos_x,pos_y,room_name,room_number,room_height,marker_guid,embedded_in_wall_guid,label_guid
1054,Wall,43D83666-A5B7-1D24-82FD-C915E0ED3BF0,4.70,0.30,3.20,PAREDE 34cm,0,3.07,-29.68,39.2,4.4,-25.03,42.4,7385412A-FCAC-4AD5-055F-05E51880E21E,,,,,,,,,
1055,Wall,CC166A52-9942-88F0-C9A2-9FA65968069F,2.30,0.10,3.00,DRYWALL,0,-2.85,-28.37,39.2,-2.25,-26.11,42.2,,,,,,,,,,
1056,Wall,C789282F-2864-1AF9-69B6-D31D0AC37AEC,2.30,0.03,3.00,DRYWALL,0,-2.46,-28.28,39.2,-1.92,-26.03,42.2,,,,,,,,,,
1057,Wall,A5AD95FA-E412-87CC-EE30-99CF731DEF1E,5.21,0.10,3.00,DRYWALL,0,-2.35,-28.47,39.2,2.75,-27.22,42.2,,,,,,,,,,
1058,Wall,AE4BC173-D675-C1AE-92F1-7CB7ED041E99,2.30,0.10,3.00,DRYWALL,0,0.19,-27.68,39.2,0.79,-25.42,42.2,FAC716B1-E670-6446-A400-D35CA89C14FB,,,,,,,,,
1059,Wall,7C75B25D-F323-8577-F9FD-83F6DEAD5D2C,2.69,0.10,3.00,DRYWALL,0,-1.75,-30.87,39.2,-1.06,-28.22,42.2,E818BF64-A726-E54E-A342-DC110DBB7D45,,,,,,,,,
1060,Wall,2822B3BF-37A9-4601-A41F-7896639FD9F7,10.56,0.25,4.00,PAREDE 39cm,0,-31.45,-7.3,4.0,-22.05,-2.05,8.0,,,,,,,,,,
1061,Wall,93545647-1ECA-43C8-9FEE-6CDDDE98FBEE,6.31,0.25,4.00,PAREDE 39cm,0,-17.97,0.78,7.2,-16.33,6.99,11.2,,,,,,,,,,
1062,Wall,46374A07-5854-45AD-BDC4-4A065CE03685,2.09,0.25,4.00,PAREDE 39cm,0,-22.76,-2.32,7.2,-22.05,-0.23,11.2,4625B2E7-3885-49E5-AA12-7E936FB51737,,,,,,,,,
1063,Wall,2F02EA23-BCC7-40AE-8F2B-1E740DD7C73E,6.51,0.25,4.00,PAREDE 39cm,0,-22.17,-2.27,7.2,-16.33,1.05,11.2,,,,,,,,,,
