node_id,element_type,guid,associated_element_guid,text,length,pos_x,pos_y,info_string,bb_xmin,bb_ymin,bb_zmin,bb_xmax,bb_ymax,bb_zmax,width,height,embedded_door_guid,label_type,zone_stamp_guid,room_name,room_number,room_height,marker_guid,embedded_in_wall_guid
2574,DimText 598,C41E6B4F-D96E-2546-B4B9-6BEC8C401D36,,30,,-50.05,51.24,Dim Text 598,-50.05,51.24,0.0,-49.55,51.74,0.0,,,,,,,,,,
2575,DimText 599,97F8659D-0662-3A49-BEC0-C0D151356B2D,,0,,-50.35,51.53,Dim Text 599,-50.35,51.53,0.0,-49.85,52.03,0.0,,,,,,,,,,
2576,DimText 600,97F8659D-0662-3A49-BEC0-C0D151356B2D,,255,,-49.15,51.53,Dim Text 600,-49.15,51.53,0.0,-48.65,52.03,0.0,,,,,,,,,,
2577,DimText 601,03A5AEF0-CC15-3242-AC32-FA4430F2751B,,0,,-47.66,49.32,Dim Text 601,-47.66,49.32,0.0,-47.16,49.82,0.0,,,,,,,,,,
2578,DimText 602,03A5AEF0-CC15-3242-AC32-FA4430F2751B,,211,,-47.66,50.32,Dim Text 602,-47.66,50.32,0.0,-47.16,50.82,0.0,,,,,,,,,,
2579,DimText 603,D6453077-6D86-9448-994B-A38C9D66C14B,,0,,-48.78,49.86,Dim Text 603,-48.78,49.86,0.0,-48.28,50.36,0.0,,,,,,,,,,
2580,DimText 604,D6453077-6D86-9448-994B-A38C9D66C14B,,79,,-48.47,49.86,Dim Text 604,-48.47,49.86,0.0,-47.97,50.36,0.0,,,,,,,,,,
2581,DimText 605,D6453077-6D86-9448-994B-A38C9D66C14B,,2,,-48.05,49.86,Dim Text 605,-48.05,49.86,0.0,-47.55,50.36,0.0,,,,,,,,,,
2582,DimText 606,D6453077-6D86-9448-994B-A38C9D66C14B,,17,,-47.74,49.86,Dim Text 606,-47.74,49.86,0.0,-47.24,50.36,0.0,,,,,,,,,,
2583,DimText 607,C6F9AADB-EE5F-AB45-8D00-7B9DD60FE7AA,,0,,-50.12,50.57,Dim Text 607,-50.12,50.57,0.0,-49.62,51.07,0.0,,,,,,,,,,
2584,DimText 608,C6F9AADB-EE5F-AB45-8D00-7B9DD60FE7AA,,85,,-50.12,50.96,Dim Text 608,-50.12,50.96,0.0,-49.62,51.46,0.0,,,,,,,,,,
2585,DimText 609,D1F3AA98-C4C5-4F4F-A7B5-0CC32F52D9BD,,0,,-50.18,50.57,Dim Text 609,-50.18,50.57,0.0,-49.68,51.07,0.0,,,,,,,,,,
2586,DimText 610,D1F3AA98-C4C5-4F4F-A7B5-0CC32F52D9BD,,68,,-50.18,50.88,Dim Text 610,-50.18,50.88,0.0,-49.68,51.38,0.0,,,,,,,,,,
2587,DimText 611,32478844-E1A2-8E44-BD7A-E0B6ADD28CBC,,0,,-50.35,51.14,Dim Text 611,-50.35,51.14,0.0,-49.85,51.64,0.0,,,,,,,,,,
2588,DimText 612,32478844-E1A2-8E44-BD7A-E0B6ADD28CBC,,238,,-49.3,51.14,Dim Text 612,-49.3,51.14,0.0,-48.8,51.64,0.0,,,,,,,,,,
2589,DimText 613,32478844-E1A2-8E44-BD7A-E0B6ADD28CBC,,17,,-48.08,51.14,Dim Text 613,-48.08,51.14,0.0,-47.58,51.64,0.0,,,,,,,,,,
2590,DimText 614,D448E75C-A1EE-1C4A-BDDC-5D209A97A038,,0,,-48.45,49.32,Dim Text 614,-48.45,49.32,0.0,-47.95,49.82,0.0,,,,,,,,,,
2591,DimText 615,D448E75C-A1EE-1C4A-BDDC-5D209A97A038,,194,,-48.45,50.16,Dim Text 615,-48.45,50.16,0.0,-47.95,50.66,0.0,,,,,,,,,,
2592,DimText 616,D448E75C-A1EE-1C4A-BDDC-5D209A97A038,,17,,-48.45,51.14,Dim Text 616,-48.45,51.14,0.0,-47.95,51.64,0.0,,,,,,,,,,
2593,DimText 617,7151D5BC-D89E-F641-88D5-2F615D83C568,,0,,-50.52,51.05,Dim Text 617,-50.52,51.05,0.0,-50.02,51.55,0.0,,,,,,,,,,
2594,DimText 618,7151D5BC-D89E-F641-88D5-2F615D83C568,,15,,-50.52,50.93,Dim Text 618,-50.52,50.93,0.0,-50.02,51.43,0.0,,,,,,,,,,
2595,DimText 619,7151D5BC-D89E-F641-88D5-2F615D83C568,,23,,-50.52,51.27,Dim Text 619,-50.52,51.27,0.0,-50.02,51.77,0.0,,,,,,,,,,
2596,DimText 620,FE356F19-D073-B441-B9D6-62A9520404E8,,0,,-54.14,49.59,Dim Text 620,-54.14,49.59,0.0,-53.64,50.09,0.0,,,,,,,,,,
2597,DimText 621,FE356F19-D073-B441-B9D6-62A9520404E8,,33,,-54.14,49.71,Dim Text 621,-54.14,49.71,0.0,-53.64,50.21,0.0,,,,,,,,,,
2598,DimText 622,FE356F19-D073-B441-B9D6-62A9520404E8,,33,,-54.14,50.04,Dim Text 622,-54.14,50.04,0.0,-53.64,50.54,0.0,,,,,,,,,,
2599,DimText 623,FE356F19-D073-B441-B9D6-62A9520404E8,,33,,-54.14,50.37,Dim Text 623,-54.14,50.37,0.0,-53.64,50.87,0.0,,,,,,,,,,
2600,DimText 624,84FDDBAE-8711-3246-AE15-BB647DCA6B7B,,0,,-54.07,49.59,Dim Text 624,-54.07,49.59,0.0,-53.57,50.09,0.0,,,,,,,,,,
2601,DimText 625,84FDDBAE-8711-3246-AE15-BB647DCA6B7B,,99,,-54.07,50.04,Dim Text 625,-54.07,50.04,0.0,-53.57,50.54,0.0,,,,,,,,,,
2602,DimText 626,44DB84FA-63F2-8E41-9451-B75C4EA8F68A,,0,,-54.85,49.57,Dim Text 626,-54.85,49.57,0.0,-54.35,50.07,0.0,,,,,,,,,,
2603,DimText 627,44DB84FA-63F2-8E41-9451-B75C4EA8F68A,,21,,-54.77,49.57,Dim Text 627,-54.77,49.57,0.0,-54.27,50.07,0.0,,,,,,,,,,
2604,DimText 628,44DB84FA-63F2-8E41-9451-B75C4EA8F68A,,35,,-54.51,49.57,Dim Text 628,-54.51,49.57,0.0,-54.01,50.07,0.0,,,,,,,,,,
2605,DimText 629,44DB84FA-63F2-8E41-9451-B75C4EA8F68A,,5,,-54.19,49.57,Dim Text 629,-54.19,49.57,0.0,-53.69,50.07,0.0,,,,,,,,,,
2606,DimText 630,F5C18203-84D5-F34D-BB30-C9EF1509247E,,0,,-54.85,49.51,Dim Text 630,-54.85,49.51,0.0,-54.35,50.01,0.0,,,,,,,,,,
2607,DimText 631,F5C18203-84D5-F34D-BB30-C9EF1509247E,,60,,-54.59,49.51,Dim Text 631,-54.59,49.51,0.0,-54.09,50.01,0.0,,,,,,,,,,
2608,DimText 632,5712E4E7-8869-E34B-A6E5-A73C4308A6AC,,0,,-54.69,49.59,Dim Text 632,-54.69,49.59,0.0,-54.19,50.09,0.0,,,,,,,,,,
